ID,Title,Description,Public Disclosure Availability Date
486369,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Pause and Resume support for printer scenarios,"For endpoint DLP customers trying to override a DLP soft warning policy tip. In its current implementation, the end-user must re-initiate the print job for the intended result; whereas with this enhancement the override will be stored for a period of time and execute the print job.",April CY2025
486826,Microsoft Purview compliance portal: Enhancements to global exclusions in IRM settings,"In this update, we are making the below enhancements to IRM exclusions to reduce alert noise. 1. Keyword logic update for email - An email will be excluded from scoring only when all the attachments match the keyword exclusions or email subject matches the keyword exclusions. This will be helpful to reduce the email signature noise which commonly contains keyword ""image"". 2. Keyword exclusions on both target and source file paths - For signals like file copied to removable media, keyword exclusions apply on both target and source file paths. 3. File path exclusions for removable media - We will start supporting file path exclusions for removable media. 4. Exclusion support for browser - Domain exclusions are now supported for browsing indicators. Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",April CY2025
485182,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Import and Search function support for Sensitive service domains group,Purview Endpoint DLP improve the management of Sensitive service domains group by allowing you to import a URL group and search specific URL across all groups.,April CY2025
479964,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Network share coverage and exclusion support on Mac endpoints,"With this feature, sensitive data in files stored in network shares and mapped network drives will be protected by DLP policies across Mac endpoints as well.",April CY2025
483884,Microsoft Purview compliance portal: New Personalization settings,"Microsoft Purview is launching a new Personalization page which will help users personalize their individual experience on Purview. 
",April CY2025
483354,Microsoft Purview compliance portal: Endpoint DLP support - Just-in-time on MacOS,"You can use Endpoint data loss prevention (DLP) just-in-time (JIT) protection to block all egress activities on monitored files while waiting for policy evaluation to successfully complete. When JIT protection is enabled, and while policy evaluation is processing, Endpoint DLP blocks all egress activities for each user whose account is in the selected scope. Endpoint DLP audits the egress activities for all user accounts that have been excluded (via the Exclude setting) or are otherwise not in scope.",April CY2025
480732,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Device and Device group-based policy scoping support for Endpoint DLP,"Currently, you can create a Purview Endpoint DLP policy and assign it to specific users or user groups. This feature will allow you to create and release features based on both users and machines. You can use this feature to achieve different policies for the same user on different devices.",April CY2025
480730,Microsoft Purview compliance portal: Insider Risk Management - Risky AI usage,"With this update, Insider Risk Management will help admins identify risky AI usage. We are adding new detections of intentional and unintentional insider risk activity on generative AI apps that can pose a risk to an organization. Activities will include risky prompts containing sensitive info or risky intent and sensitive responses containing sensitive info or is generated from sensitive files or sites.  Coverage will span across Microsoft Copilots and 3P generative AI apps. These detections will also contribute to Adaptive Protection insider risk levels.

Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",April CY2025
476098,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - MacOS parity for full file evidence ,Data Loss Prevention can copy the item that matches a DLP policy from onboarded MacOS devices to an Azure storage account. This creates full file evidence parity for MacOS.,April CY2025
476073,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Paste to Browser prevention support on macOS device with endpoint DLP,"Microsoft Purview Endpoint Data Loss Prevention adds support for instances where users try to paste sensitive content into a web browser on macOS devices using Edge, Safari, and other browsers.",April CY2025
475377,Microsoft Purview compliance portal: Department graph for Microsoft Purview Data Security Posture Management for AI,A new graph added to Microsoft Purview Data Security Posture Management for AI displays the departments of users interacting with M365 Copilot.,April CY2025
